,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:00:00,24,24,24,20.6,20.6,20.6,1013,83,9.3,40,Clouds
0,2019-01-18 20:00:00,24.45,25,24,20.049999999999997,20.6,19.6,1013,78,9.3,40,Clouds
0,2019-01-18 21:00:00,25.55,26,25,21.15,21.6,20.6,1013,78,10.3,75,Rain
0,2019-01-18 22:30:00,26.08,27,25,22.68,23.6,21.6,1015,83,10.3,75,Clouds
0,2019-01-18 23:47:00,26.82,29,24,24.42,26.6,21.6,1016,88,9.3,75,Clouds
0,2019-01-19 00:30:00,26.69,29,24,22.29,24.6,19.6,1017,78,10.8,75,Clouds
0,2019-01-19 01:33:00,25.17,27,23,21.770000000000003,23.6,19.6,1018,83,10.3,90,Clouds
0,2019-01-19 02:30:00,25.15,27,23,21.75,23.6,19.6,1018,83,10.3,75,Clouds
0,2019-01-19 03:30:00,24.08,25,23,20.68,21.6,19.6,1018,83,8.7,75,Clouds
0,2019-01-19 04:30:00,24.61,26,23,21.21,22.6,19.6,1018,83,9.3,75,Clouds
0,2019-01-19 05:30:00,24.08,25,23,19.68,20.6,18.6,1018,78,9.3,75,Clouds
0,2019-01-19 06:30:00,23.54,24,23,19.14,19.6,18.6,1018,78,8.2,75,Clouds
0,2019-01-19 07:30:00,23.54,24,23,19.14,19.6,18.6,1018,78,7.2,75,Clouds
0,2019-01-19 08:30:00,22.54,23,22,20.14,20.6,19.6,1019,88,6.7,90,Clouds
0,2019-01-19 09:41:00,21.48,22,21,18.080000000000002,18.6,17.6,1020,83,6.2,75,Clouds
0,2019-01-19 10:08:00,21.47,22,21,17.07,17.6,16.6,1020,78,5.7,90,Clouds
0,2019-01-19 11:30:00,21.46,22,21,17.060000000000002,17.6,16.6,1021,78,4.6,75,Clouds
0,2019-01-19 12:30:00,21.46,22,21,17.060000000000002,17.6,16.6,1021,78,4.1,75,Clouds
0,2019-01-19 13:30:00,21.46,22,21,18.060000000000002,18.6,17.6,1021,83,4.6,75,Clouds
0,2019-01-19 14:48:00,21.5,22,21,18.1,18.6,17.6,1020,83,4.6,75,Clouds
0,2019-01-19 15:48:00,20.5,21,20,18.1,18.6,17.6,1020,88,4.1,75,Clouds
0,2019-01-19 16:30:00,20.46,21,20,17.060000000000002,17.6,16.6,1019,83,4.1,75,Clouds
0,2019-01-19 18:00:00,20.46,21,20,17.060000000000002,17.6,16.6,1019,83,4.1,75,Clouds
0,2019-01-19 18:00:00,20.46,21,20,17.060000000000002,17.6,16.6,1019,83,4.1,75,Clouds
0,2019-01-19 19:00:00,20.46,21,20,18.060000000000002,18.6,17.6,1019,88,4.6,75,Clouds
0,2019-01-19 20:00:00,21,21,21,18.6,18.6,18.6,1020,88,5.7,75,Clouds
0,2019-01-19 21:17:00,21,21,21,18.6,18.6,18.6,1021,88,4.6,75,Clouds
0,2019-01-19 22:00:00,21.46,22,21,18.060000000000002,18.6,17.6,1021,83,4.6,75,Clouds
0,2019-01-19 23:00:00,22,22,22,18.6,18.6,18.6,1021,83,5.1,75,Clouds
0,2019-01-20 00:00:00,22.46,23,22,17.060000000000002,17.6,16.6,1021,73,3.6,75,Clouds
0,2019-01-20 01:00:00,23,23,23,17.6,17.6,17.6,1020,73,3.1,75,Clouds
0,2019-01-20 02:00:00,24,24,24,18.6,18.6,18.6,1020,73,3.1,75,Clouds
0,2019-01-20 03:00:00,24.09,25,23,18.689999999999998,19.6,17.6,1019,73,2.6,75,Clouds
0,2019-01-20 04:00:00,25.09,26,24,19.689999999999998,20.6,18.6,1018,73,4.1,75,Clouds
0,2019-01-20 05:00:00,26,26,26,19.0,19.0,19.0,1018,65,5.1,75,Clouds
0,2019-01-20 06:00:00,25.54,26,25,19.34,19.8,18.8,1017,69,4.6,75,Clouds
0,2019-01-20 07:00:00,25,25,25,18.8,18.8,18.8,1017,69,3.6,75,Clouds
0,2019-01-20 08:00:00,24.09,25,23,19.689999999999998,20.6,18.6,1018,78,3.6,90,Clouds
0,2019-01-20 09:00:00,23.54,24,23,20.14,20.6,19.6,1018,83,3.6,90,Clouds
0,2019-01-20 10:00:00,23.54,24,23,20.14,20.6,19.6,1019,83,3.1,90,Clouds
0,2019-01-20 11:00:00,24,24,24,19.6,19.6,19.6,1020,78,2.1,90,Clouds
0,2019-01-20 12:00:00,23.54,24,23,20.14,20.6,19.6,1020,83,4.6,90,Drizzle
0,2019-01-20 13:10:00,23,23,23,19.6,19.6,19.6,1019,83,3.1,90,Clouds
0,2019-01-20 14:00:00,22.91,24,22,18.509999999999998,19.6,17.6,1019,78,2.6,90,Clouds
0,2019-01-20 15:00:00,22.91,24,22,18.509999999999998,19.6,17.6,1019,78,2.1,90,Drizzle
0,2019-01-20 16:00:00,22.46,23,22,20.060000000000002,20.6,19.6,1019,88,3.6,90,Drizzle
0,2019-01-20 17:00:00,21.46,22,21,20.26,20.8,19.8,1018,94,2.1,75,Rain
0,2019-01-20 18:00:00,22,22,22,20.8,20.8,20.8,1018,94,2.6,75,Rain
0,2019-01-20 19:00:00,21.46,22,21,20.26,20.8,19.8,1017,94,3.6,75,Rain
0,2019-01-20 20:15:00,22,22,22,20.8,20.8,20.8,1018,94,4.1,75,Rain
0,2019-01-20 21:15:00,22.43,23,22,20.03,20.6,19.6,1019,88,2.6,75,Clouds
0,2019-01-20 22:00:00,23.54,24,23,21.14,21.6,20.6,1019,88,2.6,75,Clouds
